Player,Sport,Card,Grade,Sale Date,Sale Price
Cooper Flagg,Basketball,2025 Topps Chrome #251,Raw,2026-09-01,18.50
Cooper Flagg,Basketball,2025 Topps Chrome #251,PSA 8,2026-09-01,23.14
Cooper Flagg,Basketball,2025 Topps Chrome #251,PSA 9,2026-09-01,53.78
Cooper Flagg,Basketball,2025 Topps Chrome #251,PSA 10,2026-09-01,305.50
Cooper Flagg,Basketball,2025 Topps Chrome Refractor,Raw,2026-09-01,248.75
Cooper Flagg,Basketball,2025 Topps Chrome Refractor,PSA 8,2026-09-01,209.50
Cooper Flagg,Basketball,2025 Topps Chrome Refractor,PSA 9,2026-09-01,370.23
Cooper Flagg,Basketball,2025 Topps Chrome Refractor,PSA 10,2026-09-01,1813.41
Cooper Flagg,Basketball,2025 Topps Chrome Pulsar Gold /50,Raw,2026-09-01,1830.23
Cooper Flagg,Basketball,2025 Topps Chrome Pulsar Gold /50,PSA 8,2026-09-01,3404.87
Cooper Flagg,Basketball,2025 Topps Chrome Pulsar Gold /50,PSA 9,2026-09-01,3745.00
Cooper Flagg,Basketball,2025 Topps Chrome Pulsar Gold /50,PSA 10,2026-09-01,7655.00
Shohei Ohtani,Baseball,2018 Topps Update #US285,Raw,2026-09-01,113.76
Shohei Ohtani,Baseball,2018 Topps Update #US285,PSA 8,2026-09-01,133.00
Shohei Ohtani,Baseball,2018 Topps Update #US285,PSA 9,2026-09-01,195.62
Shohei Ohtani,Baseball,2018 Topps Update #US285,PSA 10,2026-09-01,599.99
Caitlin Clark,Basketball,2024 Panini Prizm #22,Raw,2026-09-01,14.21
Caitlin Clark,Basketball,2024 Panini Prizm #22,PSA 10,2026-09-01,250.00
